Date,Sentence,Source
2020-10-01,"From Lilly Pulitzer to Vineyard Vines to The North Face, these are 20 brands giving back during Breast Cancer Awareness Month.",Newsapi.org - USA Today
2020-10-01,"Australia shares set to drop as oil prices tumble, New Zealand flat  Reuters",Newsapi.org - Reuters
2020-10-01,"Australian shares are set to drop on Friday, with losses in energy stocks likely weighing on the benchmark as oil prices tumbled overnight. Oil prices fell 3% on Thursday as rising COVID-19 cases around the world dampened the demand outlook, and a rise in OPE…",Newsapi.org - Reuters
2020-10-01,"Marathon Oil Corp <MRO.N> has reinstated its quarterly base dividend, the U.S. oil producer said on Thursday, after suspending it in May following a historic collapse in crude prices.",Newsapi.org - Reuters
2020-10-01,There were so many false claims made by President Trump in the first debate we needed to produce a second report.,Newsapi.org - The Washington Post
2020-10-01,"Oil prices were little changed in early trade on Thursday after U.S. lawmakers postponed a vote on a $2.2 trillion coronavirus relief package in hopes of reaching a bipartisan deal, while rising infections fuelled demand fears.",Newsapi.org - Reuters
2020-10-01,"A strong rally for technology stocks pulls US markets higher, despite big falls in the energy and mining sectors, which bode ill for trade on the ASX.",Newsapi.org - ABC News (AU)
2020-10-01,"For almost 10 years, Syrian President Bashar al-Assad has presided over a country that has been brought bitterly to its knees. More than half a million people have died, half the 17 million population has been displaced, the number of those rendered disabled,…",Newsapi.org - Fox News
2020-10-01,"It may be little surprise the pandemic has infected Canadians with more stress over debt, but a new survey offers the eye-openers that people fear the stigma of mental illness more than poverty and business failure, and young people are more afraid than their…",Newsapi.org - Financial Post
2020-10-01,The Nasdaq led major US stock indexes higher on Thursday as Congress continued to make progress towards a new stimulus plan.,Newsapi.org - Business Insider
2020-10-01,"Oil prices were little changed in early trade on Thursday after U.S. lawmakers postponed a vote on a $2.2 trillion coronavirus relief package in hopes of reaching a bipartisan deal, while rising infections fuelled demand fears.",Newsapi.org - Reuters
2020-10-01,Hopes around further stimulus action lifted stocks as investors also digested new unemployment filings that came in lower than expected.,Newsapi.org - Business Insider
2020-10-01,"With the nation roiled by the pandemic and protests, The Associated Press decided to take a road trip",Newsapi.org - ABC News
2020-10-02,"Trump's health status could result in greater volatility in financial markets as US election nears, analysts say.",Newsapi.org - Al Jazeera English
2020-10-02,"Both the S&P 500 and the Dow industrials futures lost 1.9% on the news, as oil prices and Asian share prices slipped.",Newsapi.org - CBS News
2020-10-02,MSCI's broadest index of Asia-Pacific shares outside Japan was down 0.11%. Australia's benchmark S&P/ASX 200 index fell 0.86% as a decline in oil and copper prices weighed on the resources sector. Japan's Nikkei 225 index was up 0.19% after the Tokyo Stock Ex…,Newsapi.org - The Times of India
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"Malaysian palm oil futures fell 2.7% on Friday, tracking a drop in crude and Chicago Board of Trade soyoil prices.",Newsapi.org - Reuters
2020-10-02,"Wall Street was already on edge heading into the US election, fearful that a contested result could trigger weeks of uncertainty and a potential constitutional crisis. President Donald Trump's Covid-19 diagnosis injects even more unease at a crucial moment.",Newsapi.org - CNN
2020-10-02,The government is replacing a 15 percent value added tax with a 5 percent tax on the cost of real estate transactions.,Newsapi.org - Al Jazeera English
2020-10-02,"CALGARY – Suncor Energy Inc., which was until recently Canada’s most valuable oil and gas company, plans to lay off up to 15 per cent of its staff, or 2,000 of its workforce, in a bid to reduce costs. 
 
 
 
 
 
 The company hosted an employee conference call…",Newsapi.org - Financial Post
2020-10-02,"News of the infection of the most powerful man in the world with the most notorious disease in the world drew instant reactions of shock, sympathy, undisguised glee and, of course, the ever-present outrage and curiosity that follow much of what Donald Trump d…",Newsapi.org - CBC News
2020-10-02,Suncor Energy informed employees on Friday morning that it's cutting staff by as much as 15 per cent in the coming months.,Newsapi.org - CBC News
2020-10-02,"If governments expect to maintain order, they need to be forward-thinking in their responses to COVID-stricken economies.",Newsapi.org - Newsweek
2020-10-02,The diagnosis adds more uncertainties to the final month of a presidential race already expected to drive outsized market volatility.,Newsapi.org - Business Insider
2020-10-02,"Both the S&P 500 and the Dow industrials futures lost 1.9% on the news, as oil prices and Asian share prices slipped.",Newsapi.org - CBS News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,U.S. stock futures and Asian shares have fallen after President Donald Trump said he and first lady Melania Trump tested positive for the new coronavirus,Newsapi.org - Independent
2020-10-02,"The president of the United States contracted COVID-19, a virus proven to be particularly deadly for senior citizens such as himself, just weeks before one of the most anticipated elections in his country’s history — but for investors the development appears …",Newsapi.org - Financial Post
2020-10-02,"Welcome to Insider Energy, Business Insider's weekly energy newsletter. Sign up to get it in your inbox every Friday.",Newsapi.org - Business Insider
2020-10-02,"Summary List Placement

<ul>
<li>US stocks sank on Friday after President Donald Trump and First Lady Melania Trump said they both tested positive for COVID-19.</li>
<li>The diagnosis adds more uncertainties to the final month of a presidential race already e…",Newsapi.org - Business Insider
2020-10-02,<p>US economy worsens as president tests positive</p>,Newsapi.org - Independent
2020-10-02,"Summary List Placement

It was risky, Shontay Lundy said, to create a sunscreen line marketed toward Black people. But it was a risk she was willing to take. 
In 2016, Lundy launched her company, Black Girl Sunscreen, saying she was was ""underwhelmed"" by the …",Newsapi.org - Business Insider
2020-10-02,"News of the infection of the most powerful man in the world with the most notorious disease in the world drew instant reactions of shock, sympathy, undisguised glee and, of course, the ever-present outrage and curiosity that follow much of what Donald Trump d…",Newsapi.org - Independent
2020-10-02,"<ol><li>Stock futures, oil prices plunge after Trump tests positive for COVID-19 | New York Post  New York Post
</li><li>Trump's positive COVID-19 test gives stocks wild ride  Fox Business
</li><li>President Trump and first lady test positive for the corona…",Newsapi.org - Google News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"<ol><li>Trump Doing Well at This Time, Expect No Disruption in Duties: President’s Doctor on Covid Diagnosis  News18
</li><li>Trump, Wife Melania Test Positive For Coronavirus: ""We'll Get Through This Together""  NDTV
</li><li>Donald Trump, Melania test posi…",Newsapi.org - Google News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"<ol><li>Stock futures, oil prices plunge after Trump tests positive for COVID-19 | New York Post  New York Post
</li><li>Trump's positive COVID-19 test gives stocks wild ride  Fox Business
</li><li>President Trump and first lady test positive for the corona…",Newsapi.org - Google News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"President Donald Trump and the first lady Melania Trump have tested positive for the coronavirus, the president confirmed early Friday morning.",Newsapi.org - NBC News
2020-10-02,"<ol><li>Trump Doing Well at This Time, Expect No Disruption in Duties: President’s Doctor on Covid Diagnosis  News18
</li><li>Trump, Wife Melania Test Positive For Coronavirus: ""We'll Get Through This Together""  NDTV
</li><li>Donald Trump, Melania test posi…",Newsapi.org - Google News
2020-10-02,"“There remains a very real possibility that the market’s gains over the previous two quarters will steadily erode in the months ahead as we close out a year that many would like to forget,” said one economist.",Newsapi.org - NBC News
2020-10-02,"News of Trump's infection drew instant reactions of shock, sympathy and undisguised glee.",Newsapi.org - Al Jazeera English
2020-10-02,"U.S. stock futures and many overseas stock indices fell Friday after President Donald Trump said he and his wife, Melania Trump, had tested positive for the new coronavirus.",Newsapi.org - CBC News
2020-10-02,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
2020-10-02,"Stocks that moved heavily or traded substantially Friday: Twilio, Nu Skin rise; Exxon, SMART Global fall",Newsapi.org - ABC News
2020-10-02,"""Palm oil prices fell in tandem with weak external markets and lower crude oil prices,"" a Kuala Lumpur-based trader told Reuters.",Newsapi.org - The Times of India
2020-10-02,U.S. stock futures and Asian shares have fallen after President Donald Trump said he and first lady Melania Trump tested positive for the new coronavirus,Newsapi.org - ABC News
2020-10-02,"Malaysian palm oil futures were poised on Friday for a second consecutive weekly decline as they extended losses, tracking a drop in crude and Chicago Board of Trade soyoil prices.",Newsapi.org - Reuters
2020-10-03,"New premier Andrew Furey has made a point of noting he is in contact with Prime Minister Justin Trudeau. As John Gushue writes, the province's requests are not easy to satisfy.",Newsapi.org - CBC News
2020-10-04,"The snapback effect over the summer has masked something more worrying: We’ve entered a longer, slower grind that puts the economy at risk for the indefinite future.",Newsapi.org - The Times of India
2020-10-04,"""The day to day is kind of daunting; it puts you in survival mode, which I don't like. Just because it's hard to think beyond the tip of your nose.""",Newsapi.org - Business Insider
2020-10-04,"Summary List Placement

Iran and Venezuela are two of President Donald Trump's most frequent foreign-policy targets, and increasing US pressure has only brought the two closer.
Their ties are again on display ahead of the presidential election, as US actions …",Newsapi.org - Business Insider
2020-10-04,Some Gulf countries may seek to test the commitment of Kuwait’s new leadership to speak up for Gulf Cooperation Council.,Newsapi.org - Al Jazeera English
2020-10-05,"* Mexican peso extends winning streak to fourth day * Brazil services sector expands in Sept for first time since Feb * Most Latam assets higher after oil prices surge over 6% (Updates prices throughout; Adds comments, bullets) By Shreyashi Sanyal Oct 5 (Reut…",Newsapi.org - Reuters
2020-10-05,Non-oil private sector activity improved last month despite ongoing challenges from COVID-19 pandemic.,Newsapi.org - Al Jazeera English
2020-10-05,Shares have started the week with gains as investors were encouraged by positive reports about President Donald Trump’s health after he tested positive for the coronavirus,Newsapi.org - Independent
2020-10-05,"US futures rose, suggesting a higher open at Wall Street for major indices. US president Donald Trump is expected to leave hospital as soon as Monday.",Newsapi.org - Business Insider
2020-10-05,"Summary List PlacementBy Bob Iaccino for CME Group
In 2019, the US imported about 6.8 million barrels per day (bpd) of crude oil and exported about 3 million bpd of crude oil, according to the US Energy Information Administration (EIA). However, those figures…",Newsapi.org - Business Insider
2020-10-05,Most U.S. Oil Jobs Lost in Pandemic Won’t Return at These Pricesbloomberg.com,Newsapi.org - Bloomberg
2020-10-05,Analysts said sell-off by participants at existing levels amid subdued trend in market mainly weighed on cottonseed oil cake prices.,Newsapi.org - The Times of India
2020-10-05,Flashback to TCJA — The latest on pandemic relief,Newsapi.org - Politico
2020-10-05,"Prices slumped more than 4% on Friday following Trump's diagnosis. However, he made a surprise appearance on Sunday in a motorcade outside the hospital where he is being treated, which helped improve market sentiment.",Newsapi.org - The Times of India
2020-10-05,Iranians take to social media to chronicle the blistering effects of soaring inflation and US economic sanctions.,Newsapi.org - Al Jazeera English
2020-10-05,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
2020-10-05,"Oil Prices for Oct. 06, 2020: Brent Crude, WTIbloomberg.com",Newsapi.org - Bloomberg
2020-10-05,"On the lookout for interesting new products? Check out this list of items from Sephora, Olay, Amazon, Bed Bath & Beyond, NinjiFood, BaubleBar and more!",Newsapi.org - NBC News
2020-10-05,Investors have also recently been encouraged by signs that another round of fiscal stimulus will soon be passed.,Newsapi.org - Business Insider
2020-10-05,"There's no doubt oil plays a major role in the economy, but some of the Alberta premier's specific claims appear exaggerated, cherry-picked or wrong.",Newsapi.org - CBC News
2020-10-05,"Exxon Mobil projects an increase in its carbon emissions from fossil fuel production over the next several years, ...",Newsapi.org - The Hill
2020-10-05,The Australian share market bounces back to life as more stimulus is unveiled ahead of tomorrow's Federal Budget and on optimism about US President Donald Trump's recovery from coronavirus.,Newsapi.org - ABC News (AU)
2020-10-05,"It would be difficult to imagine a U.S. election subject to more uncertainty than this year’s; Canadian pensions find opportunity in private debt, and athletes are conquering distance -- sports will never be the same.",Newsapi.org - The Wall Street Journal
2020-10-05,Market analysts said cutting down of positions by participants against ample stocks mainly influenced refined soya oil prices.,Newsapi.org - The Times of India
2020-10-05,"The old truism that elections have consequences is doubly apt for the U.S., a country whose politics reach beyond its borders. It's certainly the case for Canada, and it's especially true on environmental and energy issues, where Donald Trump and Joe Biden pr…",Newsapi.org - CBC News
2020-10-05,"US and Asian stocks, and oil prices, rise after US president's doctors say he may be discharged as early as Monday.",Newsapi.org - Al Jazeera English
2020-10-05,Everybody loves a good story especially when it comes to buying and selling certain themes in the market. This phenomenon is more apparent now than ever as investors herd into those segments telling the best story while selling those that tell a bad one. This…,Newsapi.org - Financial Post
2020-10-05,"Trump's health update eased political uncertainty in global markets, pushing Brent up to $39.79 a barrel by 0140 GMT, gaining 52 cents or 1.3%. U.S. West Texas Intermediate (WTI) crude was at $37.64 a barrel, up 59 cents, or 1.6%.",Newsapi.org - The Times of India
2020-10-05,"Oil majors Royal Dutch Shell, BP and Total gained nearly 2%, with crude prices climbing after an easing of the worst fears about Trump's health condition and an expanding workers' strike in Norway, Western Europe's largest oil producer.",Newsapi.org - The Times of India
2020-10-05,CALGARY — Canadian Natural Resources Ltd. has dethroned Suncor Energy Inc. as Canada’s most valuable energy company amid a selloff in domestic oil and gas stocks that has continued to erode the size of the energy industry on major North American stock indices…,Newsapi.org - Financial Post
2020-10-05,Shares have started the week with gains as investors were encouraged by positive reports about President Donald Trump’s health after he tested positive for the coronavirus,Newsapi.org - ABC News
2020-10-06,"“As the area sown under guar has reduced, we expect that production may fall from 9 million bags of 100 kilograms each in the previous year to about 7.5 million bags this year,” said Dilip Sarda, a guar gum manufacturer from Rajasthan.",Newsapi.org - The Times of India
2020-10-06,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
2020-10-06,The foreign workforce is paying the price as the economy is squeezed by the virus.,Newsapi.org - BBC News
2020-10-06,"Summary List Placement

Most people are familiar with oil giants like Shell and Chevron, largely because they sell gasoline and diesel at stations across the country — fuel, after all, is the biggest market for oil companies. 
But there's a large and growing …",Newsapi.org - Business Insider
2020-10-06,"""I have instructed my representatives to stop negotiating until after the election when, immediately after I win, we will pass a major Stimulus Bill,"" Trump tweeted Tuesday afternoon.",Newsapi.org - Business Insider
2020-10-06,"Oil prices gained on Tuesday due to fears that refineries could be hit by a storm brewing in the Gulf of Mexico, while buyers also drew relief from U.S. President Donald Trump's return to the White House after being treated for COVID-19 in hospital.",Newsapi.org - Reuters
2020-10-06,"Summary List Placement

<ul>
<li>Oil prices extended gains on Tuesday after Monday's ""presidential homecoming"" triggered a big rally and lifted investor sentiment alongside worker strikes in Norway and a hurricane in the US.</li>
<li>Brent crude leapt 6% to $…",Newsapi.org - Business Insider
2020-10-06,The company has reduced the book value from Rs 189.63 per share to Rs 146.87 per share citing long-term concerns over oil prices after Covid-19 and further reduced to Rs 89.38 per share as per the calculations of the Companies Act.,Newsapi.org - The Times of India
2020-10-06,"A new United Nations report says South Sudan has made no real steps toward national healing more than two years after the end of a civil war that killed nearly 400,000 people",Newsapi.org - Independent
2020-10-06,A U.S. government watchdog agency is faulting the Trump administration’s handling of a COVID-19 relief effort that awarded energy companies breaks on payments for oil and gas extracted from public lands in Western states in more than 500 cases,Newsapi.org - ABC News
2020-10-06,But the drop-off is slight — a sign that it is still a force in American politics.,Newsapi.org - The Washington Post
2020-10-06,A U.S. government watchdog agency is faulting the Trump administration’s handling of a COVID-19 relief effort that awarded energy companies breaks on payments for oil and gas extracted from public lands in Western states in more than 500 cases,Newsapi.org - Independent
2020-10-06,Fed Chair Powell is expected to reemphasize the importance of passing new fiscal stimulus when he speaks at a Tuesday morning conference.,Newsapi.org - Business Insider
2020-10-06,Contractionary monetary policy is a tool a central bank uses to reduce inflation and cool an overheated economy. It includes raising interest rates.,Newsapi.org - Business Insider
2020-10-06,Data from the American Petroleum Institute on Tuesday and the U.S. government on Wednesday will provide a picture of whether demand is picking up,Newsapi.org - The Times of India
2020-10-06,"Energy stocks helped Canada's main index open higher on Tuesday, as oil prices gained amid supply disruptions in Norway, a new hurricane in the Gulf of Mexico and U.S. President Donald Trump's return to the White House from hospital.",Newsapi.org - Reuters
2020-10-06,"Stocks that moved heavily or traded substantially Tuesday: Alteryx, MoneyGram rise; Sonos, Charles Schwab fall",Newsapi.org - ABC News
2020-10-06,10 things you need to know before the opening bell,Newsapi.org - Business Insider
2020-10-06,"U.S. West Texas Intermediate (WTI) crude futures were trading 34 cents higher, or 0.9%, at $39.56 a barrel.",Newsapi.org - The Times of India
2020-10-06,"Keep shedding range-bound stocks: Kumj BansalI will keep shedding metal and oil and so-called value stocks like PSB stocks, says Kunj Bansal",Newsapi.org - The Times of India
2020-10-06,"A new United Nations report says South Sudan has made no real steps toward national healing more than two years after the end of a civil war that killed nearly 400,000 people",Newsapi.org - ABC News
2020-10-06,"Equity markets, emerging market currencies and gold ease, after brief boost from Trump's return to the White House after three days in hospital",Newsapi.org - Business Insider
2020-10-06,Analysts said widening of positions by traders mainly helped refined soya oil prices to trade higher in futures market.,Newsapi.org - The Times of India
2020-10-06,All three major US stock indexes closed more than 1 percent lower following Trump's tweets Tuesday.,Newsapi.org - Al Jazeera English
2020-10-06,"Premier, whose shares have tumbled 80% this year, will hold up to 23% of the combined company of which its shareholders will own about 6%.",Newsapi.org - Business Insider
2020-10-06,PM Sabah al-Khalid al-Sabah submitted cabinet resignation to ensure those who hold gov't posts have the emir's backing.,Newsapi.org - Al Jazeera English
2020-10-06,"Want to buy bank stocks? Wait till November endBanks are going to have to apportion a substantial amount of capital for loan restructuring, says Deepak Shenoy",Newsapi.org - The Times of India
2020-10-06,"« From a Russian perspective, the best outcome is a chaotic, contested election. »",Newsapi.org - The Washington Post
2020-10-06,"US stocks are sold off sharply after US President Donald Trump put a hold on negotiations on new stimulus spending until after the US presidential election, with the US Federal Reserve chairman warning of a downward spiral for the US economy if there is no ne…",Newsapi.org - ABC News (AU)
2020-10-07,"Summary List Placement

 
Hammered by a collapse in oil prices, the energy industry is entering a new phase focused on returns, which is likely to bring a wave of consolidation, analysts at Morgan Stanley said in a note Wednesday. 
Deals could help US oil com…",Newsapi.org - Business Insider
2020-10-07,Natural gas producer Cabot Oil & Gas Corp on Wednesday cut its full-year production outlook and said it would continue to evaluate options including temporarily forgoing production as gas prices remain weak.,Newsapi.org - Reuters
2020-10-07,"Kuwait's state news agency says that the deputy chief of the National Guard, who spent years in the oil-rich country’s security services, was nominated as crown prince",Newsapi.org - Independent
2020-10-07,"""Trump pulling out of relief negotiations generates a lot of uncertainty about the economy ... we also didn't get a constructive set of data in terms of oil consumption,"" said Harry Tchilinguirian, head of commodities research at BNP Paribas.",Newsapi.org - The Times of India
2020-10-07,"But Saudi Aramco plans to boost its production capacity so it can pump as much of Saudi Arabia's vast oil reserves when demand picks up - before a shift to cleaner energy makes crude all but worthless, industry sources and analysts told Reuters.",Newsapi.org - The Times of India
2020-10-07,"India will let companies producing gas from new local fields sell the cleaner fuel on e-bidding platforms, oil minister Dharmendra Pradhan said on Wednesday, in a move expected to help them get better prices and boost output.",Newsapi.org - Reuters
2020-10-07,"Summary List Placement

Exxon is having a bad week within a very tough year.
On Monday, the company announced job cuts in Europe, following previous reports of a voluntary redundancy program in Australia. The same day, the oil giant faced claims that its plan…",Newsapi.org - Business Insider
2020-10-07,"Summary List Placement

Big tech is getting ready to take on the House of Representatives.
The House Democrats on Tuesday dropped a 449-page report following a year-long antitrust investigation, laying out what they view as the monopoly power wielded by Apple…",Newsapi.org - Business Insider
2020-10-07,"S&P 500 futures wobbled either side of flat, finding some support from Trump tweets seeming to promise backing for individual pieces of fiscal stimulus. The dollar was steady at its highest level for the week so far. Oil prices slid and the strong dollar squa…",Newsapi.org - The Times of India
2020-10-07,"Kuwait's state news agency says that the deputy chief of the National Guard, who spent years in the oil-rich country’s security services, was nominated as crown prince",Newsapi.org - ABC News
2020-10-07,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
2020-10-07,"U.S. West Texas Intermediate (WTI) crude oil futures fell 87 cents, or 2.1%, to $39.80 a barrel by 0104 GMT while Brent crude futures fell by 74 cents, or 1.7%, to $41.91 a barrel.",Newsapi.org - The Times of India
2020-10-07,Marketmen said raising of positions by participants amid a rising demand from cattle-feed makers mainly influenced cottonseed oil cake prices here.,Newsapi.org - The Times of India
2020-10-07,"Oil and gas prices are at record lows, so why is the Interior Department selling drilling leases as fast as it can?",Newsapi.org - Politico
2020-10-07,Asian shares opened lower but rebounded on optimism that the US is likely to pass new stimulus measures.,Newsapi.org - Al Jazeera English
2020-10-07,"The alphabet of letter shapes meant to describe how the economy pulls out of the COVID-19 recession has now added a K, which may mean we're not all in this together after all.",Newsapi.org - CBC News
2020-10-07,"""These firms have too much power, and that power must be reined in and subject to appropriate oversight and enforcement. Our economy and democracy are at stake,"" the report said.",Newsapi.org - Newsweek
2020-10-07,Stocks on Wall Street surge after the US President calls on Congress to pass some coronavirus relief measures including a bailout for airlines and stimulus cheques for individuals.,Newsapi.org - ABC News (AU)
2020-10-07,"The selection of Sheikh Meshaal, currently the deputy head of the National Guard, must be approved by the parliament.",Newsapi.org - Al Jazeera English
2020-10-07,Stocks are opening broadly higher on Wall Street Wednesday after President Donald Trump said he could be willing to sign off on specific aid measures for airlines and small businesses as well as another round of relief checks,Newsapi.org - ABC News
2020-10-07,Oil prices slipped on Wednesday after U.S. President Donald Trump dashed hopes for a fourth stimulus package to boost the coronavirus-hit economy and on a larger-than-expected build-up in U.S. crude stocks.,Newsapi.org - Reuters
2020-10-07,* Brazil real falls as Guedes says emergency budget ends this year * Mexico's investment plan viewed as positive by analysts * Chilean peso strengthens after higher copper prices * Oil exporter Colombia's peso hit by falling crude prices (Updates prices throu…,Newsapi.org - Reuters
2020-10-07,Oil prices slipped on Wednesday after U.S. President Donald Trump dashed hopes for a fourth stimulus package to boost the coronavirus-hit economy and on a larger-than-expected build-up in U.S. crude stocks.,Newsapi.org - Reuters
2020-10-07,"The Australian share market gains ground after Donald Trump calls on Congress to pass some coronavirus relief measures, while iSelect admits deceiving consumers about power plans.",Newsapi.org - ABC News (AU)
2020-10-07,Oil prices slipped on Wednesday after U.S. President Donald Trump dashed hopes for a fourth stimulus package to boost the coronavirus-hit economy and on a larger-than-expected build-up in U.S. crude stocks.,Newsapi.org - Reuters
2020-10-07,Oil prices slipped on Wednesday after U.S. President Donald Trump dashed hopes for a fourth stimulus package to boost the coronavirus-hit economy and on a larger-than-expected build-up in U.S. crude stocks.,Newsapi.org - Reuters
2020-10-07,"Once the nation's largest company, Exxon's market value has fallen more than 50% since the start of the year.",Newsapi.org - Business Insider
2020-10-07,Analysts said widening of positions by traders mainly helped refined soya oil prices to trade higher in futures market.,Newsapi.org - The Times of India
2020-10-07,* Brazil real falls as Guedes says emergency budget ends this year * Mexico's investment plan viewed as positive by analysts * Chilean peso strengthens after higher copper prices * Oil exporter Colombia's peso hit by falling crude prices (Updates prices throu…,Newsapi.org - Reuters
2020-10-07,The Government Accountability Office said officials flouted their own goals when giving struggling petroleum producers a break this spring on payments.,Newsapi.org - The Washington Post
2020-10-07,,Newsapi.org - Bloomberg
2020-10-07,Stocks are opening broadly higher on Wall Street Wednesday after President Donald Trump said he could be willing to sign off on specific aid measures for airlines and small businesses as well as another round of relief checks,Newsapi.org - Independent
2020-10-07,"Oil prices and US petrol futures rose, boosted by shut-ins ahead of Hurricane Delta.",Newsapi.org - Al Jazeera English
2020-10-07,This Wednesday's best Amazon sale items  include early Prime Day 2020 price drops on the Echo Show 5 and a Shark robot vacuum—see more.,Newsapi.org - USA Today
2020-10-08,"OPEC sees oil demand peaking by the late 2030s, in contrast to oil industry view that plateau will happen sooner.",Newsapi.org - Al Jazeera English
2020-10-08,"US investors are optimistic about more coronavirus stimulus as Donald Trump repeats calls for standalone aid, although US House Speaker Nancy Pelosi is pushing for a $US2 trillion comprehensive package.",Newsapi.org - ABC News (AU)
2020-10-08,"One of Asia's biggest asphalt companies is helping Venezuela skirt harsh U.S. sanctions by moving hundreds of millions of dollars on behalf of the state-run oil company PDVSA, according to an Associated Press investigation",Newsapi.org - ABC News
2020-10-08,Analysts said widening of positions by traders mainly helped refined soya oil prices to trade higher in futures market.,Newsapi.org - The Times of India
2020-10-08,"Oil prices rose on Thursday as oil workers evacuated rigs in the U.S. Gulf of Mexico ahead of Hurricane Delta, though fuel demand concerns persisted on fading chances for an economic stimulus deal in the United States, the world's biggest oil consumer.",Newsapi.org - Reuters
2020-10-08,"Kuwait’s new crown prince has taken the oath of office, ascending to the post after the country’s parliament unanimously approved the ruling emir’s choice of successor",Newsapi.org - ABC News
2020-10-08,"One of Asia’s biggest asphalt companies is helping Venezuela skirt harsh U.S. sanctions by moving hundreds of millions of dollars on behalf of the state-run oil company PDVSA, according to an Associated Press investigation",Newsapi.org - ABC News
2020-10-08,Kuwait's new crown prince pledges commitment to democracyThe assembly unanimously endorsed the octogenarian Sheikh Meshal for the role in what has been a smooth succession that retained power firmly within the ruling family's oldest ranks following last week'…,Newsapi.org - The Times of India
2020-10-08,"One of Asia's biggest asphalt companies is helping Venezuela skirt harsh U.S. sanctions by moving hundreds of millions of dollars on behalf of the state-run oil company PDVSA, according to an Associated Press investigation",Newsapi.org - Independent
2020-10-08,,Newsapi.org - Politico
2020-10-08,"Oil prices rose on Thursday as oil workers evacuated rigs in the U.S. Gulf of Mexico ahead of Hurricane Delta, though fuel demand concerns persisted on fading chances for an economic stimulus deal in the United States, the world's biggest oil consumer.",Newsapi.org - Reuters
2020-10-08,"Alberta's economy continues to sputter and isn't expected to exceed pre-pandemic levels until 2023, according to the latest forecast from ATB Financial.",Newsapi.org - CBC News
2020-10-08,The oil and gas industry is laying off workers at an unprecedented pace to cope with a pandemic that crashed energy prices and raised doubts about the future of fossil fuels.,Newsapi.org - CNN
2020-10-08,"Closing prices for crude oil, gold and other commodities, and foreign exchange levels",Newsapi.org - ABC News
